Comment,Designator,Footprint,LCSC
10K,R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
6.8pF,C8,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,
100nF,C3,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,
TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,P8,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,
Power LED,J4,PinHeader_1x02_P2.54mm_Vertical,
Power,SW1,SW_PUSH_6mm_H4.3mm,
100nF,C4,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,
3.2768,Y1,Crystal_HC52-6mm_Horizontal_1EP_style1,
MountingHole_Pad,H2,MountingHole_3.5mm_Pad,
74HC73,U5,DIP-14_W7.62mm_LongPads,
Power Switch,J1,PinHeader_1x02_P2.54mm_Vertical,
100K,R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
L7905,U3,TO-263-3_TabPin2,
10M,R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
10K,R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
1K,R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
74HC74,U1,DIP-14_W7.62mm_LongPads,
100nF,C6,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,
6.8pF,C7,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,
470,R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,
100nF,C5,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,
74HC14,U2,DIP-14_W7.62mm_LongPads,
TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,P9,TerminalBlock_4Ucon_1x06_P3.50mm_Horizontal,
LL4148,D1,D_A-405_P10.16mm_Horizontal,
MountingHole_Pad,H1,MountingHole_3.5mm_Pad,
LL4148,D2,D_A-405_P10.16mm_Horizontal,
